subscriptionReferenceNumber,productLanguage,productStatus,subscriptionType,groupName,quantity,seats,packSize,subscriptionStatus,lastPurchaseDate,startDate,endDate,description,productLine,productLineCode,solutionDivision,release,deployment,licensingModel,subscriptionLevel,switchType,switchYear,opportunityNumber,licenseType,activationType,programType,contract.number,contract.startDate,contract.endDate,contract.term,contract.billingBehavior,contract.subType,contract.renewalCounter,ews.adoptionHealth.currentMonth,ews.adoptionHealth.bimonthly1,ews.adoptionHealth.bimonthly2,ews.adoptionHealth.bimonthly3,ews.adoptionHealth.bimonthly4,ews.adoptionHealth.bimonthly5,ews.adoptionHealth.bimonthly6,ews.adoptionHealth.bimonthly7,ews.adoptionHealth.bimonthly8,ews.adoptionHealth.bimonthly9,ews.adoptionHealth.bimonthly10,ews.onboardingHealth.health,ews.onboardingHealth.score,ews.onboardingHealth.accessDriver,ews.onboardingHealth.discoveryDriver,ews.onboardingHealth.productUtilizationScoreDriver,ews.onboardingHealth.supportDriver,ews.retentionHealth.score,ews.retentionHealth.riskBand,ews.retentionHealth.customerProfileScoreDriver,ews.retentionHealth.productUtilizationDriver,ews.retentionHealth.productProfileScoreDriver,ews.retentionHealth.subscriptionEngagementScoreDriver,accounts.soldTo.csn,accounts.soldTo.name,accounts.reseller.csn,accounts.reseller.name,accounts.reseller.localLanguageName,accounts.reseller.type,accounts.reseller.address1,accounts.reseller.address2,accounts.reseller.address3,accounts.reseller.city,accounts.reseller.stateProvince,accounts.reseller.postalCode,accounts.reseller.country,accounts.nurtureReseller.csn,accounts.nurtureReseller.name,accounts.nurtureReseller.lockdate,accounts.nurtureReseller.nurtureDiscountEligibility,endCustomer.account.endCustomerCsn,endCustomer.account.name,endCustomer.account.type,endCustomer.account.address1,endCustomer.account.address2,endCustomer.account.address3,endCustomer.account.city,endCustomer.account.stateProvince,endCustomer.account.postalCode,endCustomer.account.country,endCustomer.account.individualFlag,endCustomer.account.namedAccountFlag,endCustomer.account.namedAccountGroup,endCustomer.account.parentIndustryGroup,endCustomer.account.parentIndustrySegment,endCustomer.contractManager.first,endCustomer.contractManager.last,endCustomer.contractManager.email,endCustomer.contractManager.address1,endCustomer.contractManager.address2,endCustomer.contractManager.address3,endCustomer.contractManager.city,endCustomer.contractManager.stateProvince,endCustomer.contractManager.postalCode,endCustomer.contractManager.country,endCustomer.contractManager.phone,endCustomer.contractManager.fax,endCustomer.contractManager.status,endCustomer.contractManager.portalRegistration,endCustomer.contractManager.doNotCall,endCustomer.contractManager.doNotEmail,endCustomer.contractManager.doNotMail,endCustomer.softwareCoordinator.first,endCustomer.softwareCoordinator.last,endCustomer.softwareCoordinator.email,endCustomer.softwareCoordinator.address1,endCustomer.softwareCoordinator.address2,endCustomer.softwareCoordinator.address3,endCustomer.softwareCoordinator.city,endCustomer.softwareCoordinator.stateProvince,endCustomer.softwareCoordinator.postalCode,endCustomer.softwareCoordinator.country,endCustomer.softwareCoordinator.phone,endCustomer.softwareCoordinator.fax,endCustomer.softwareCoordinator.status,endCustomer.softwareCoordinator.doNotCall,endCustomer.softwareCoordinator.doNotEmail,endCustomer.softwareCoordinator.doNotMail
563-64141377,WW,Registered,Renewable Subscription,,1,1,0,Expired,27/12/2018,29/12/2017,21/11/2019,AutoCAD Plant 3D 2017 Non-Language Specific,AutoCAD Plant 3D,PLNT3D,,2017,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,29/12/2017,28/12/2020,Annual,Renewable,Silver/Gold,2,Highly engaged,Stable high,Highly engaged,Highly engaged,Highly engaged,Stable high,Stable high,Stable high,Stable high,Stable high,Stable high,,0.379765234,,,,,0.379765234,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,29/09/2019,false,5080264321,Laboratorios Pisa S.A. de C.V.,End Customer,Av Espana 1840,,,Guadalajara,JAL,44190,Mexico,false,true,Territory,MFG,Process Manufacturing,Sandra,Gonzalez Gonzalez,sgonzalez@corpcab.com.mx,Av Espana 1840,Moderna,,Guadalajara,JAL,44190,Mexico,5.23337E+11,,Active,Registered,false,false,true,Sandra,Gonzalez Gonzalez,sgonzalez@corpcab.com.mx,Av Espana 1840,Moderna,,Guadalajara,JAL,44190,Mexico,5.23337E+11,,Active,false,false,true
563-64141377,WW,Registered,Renewable Subscription,,1,1,0,Expired,27/12/2018,22/11/2019,28/12/2019,AutoCAD Plant 3D 2017 Non-Language Specific,AutoCAD Plant 3D,PLNT3D,,2017,S,TERM,GOLDA,,,,New,Sign On,,1.10002E+11,29/12/2017,28/12/2020,Annual,Renewable,Silver/Gold,2,Highly engaged,Stable high,Highly engaged,Highly engaged,Highly engaged,Stable high,Stable high,Stable high,Stable high,Stable high,Stable high,,0.379765234,,,,,0.379765234,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,29/09/2019,false,5080264321,Laboratorios Pisa S.A. de C.V.,End Customer,Av Espana 1840,,,Guadalajara,JAL,44190,Mexico,false,true,Territory,MFG,Process Manufacturing,Sandra,Gonzalez Gonzalez,sgonzalez@corpcab.com.mx,Av Espana 1840,Moderna,,Guadalajara,JAL,44190,Mexico,5.23337E+11,,Active,Registered,false,false,true,Sandra,Gonzalez Gonzalez,sgonzalez@corpcab.com.mx,Av Espana 1840,Moderna,,Guadalajara,JAL,44190,Mexico,5.23337E+11,,Active,false,false,true
569-14174335,WW,Registered,Renewable Subscription,,4,4,0,Active,29/03/2021,30/04/2020,29/04/2022,Civil 3D 2020 Non-Language Specific,Civil 3D,CIV3D,,2020,S,TERM,GOLDA,,,,New,Sign On,,1.10003E+11,30/04/2020,29/04/2022,Annual,Renewable,Silver/Gold,1,,,,,,,,,,,,,0.560373245,,,,,0.560373245,Medium,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5149441046,Bonatti Spa,End Customer,Carr Federal 14 750,,,San Miguel de Allende,GTO,37897,Mexico,false,true,Territory,AEC,Oil & Gas,Egidio,Ghiorzo,egidio.ghiorzo@bonatti.it,Via A. Nobel 2\A,,,Parma,PR,,,3.93905E+11,,Active,Registered,true,false,true,Egidio,Ghiorzo,egidio.ghiorzo@bonatti.it,Via A. Nobel 2\A,,,Parma,PR,,,3.93905E+11,,Active,true,false,true
563-55752659,WW,Registered,Renewable Subscription,,3,3,0,Expired,04/12/2017,04/12/2017,03/12/2018,Maya 2018 Non-Language Specific,Maya,MAYA,,2018,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,04/12/2017,03/12/2018,Annual,Renewable,Silver/Gold,0,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Highly engaged,Stable mid,Stable mid,Stable mid,Stable mid,Highly engaged,,0.508509282,,,,,0.508509282,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,04/09/2018,false,5120238463,Cgbot Mexico,End Customer,Ignacio Zaragoza Sur 1000,,,Monterrey,NL,64000,Mexico,false,false,Territory,M&E,"Advert'g, Publ'g & Graphic Des",Edgar,Navarro,enavarro@cgbot.com,Ignacio Zaragoza Sur 1000,Centro 64000 Monterrey,,Monterrey,NL,64000,Mexico,5.28183E+11,,Active,Registered,false,false,true,Edgar,Navarro,enavarro@cgbot.com,Ignacio Zaragoza Sur 1000,Centro 64000 Monterrey,,Monterrey,NL,64000,Mexico,5.28183E+11,,Active,false,false,true
563-41839790,WW,Registered,Renewable Subscription,,4,4,0,Active,22/10/2020,14/12/2019,26/10/2021,Architecture Engineering Construction Collection IC Non-Language Specific,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,M2S,FY18,,Crossgrade,Sign On,M2S,1.10002E+11,27/10/2017,26/10/2021,Annual,Renewable,Silver/Gold,3,Growing,Stable mid,Stable high,Stable mid,Stable mid,No use,Stable high,Slowing,Highly engaged,Stable high,Stable high,,0.7904596,,,,,0.7904596,Medium,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5124193278,Xdifica S.A. de C.V.,End Customer,Puerto Juearez Km 282,Carr Chetumal,,Playa del Carmen,QROO,77710,Mexico,false,true,Territory,Unknown,Unknown,Leopoldo,Alcantar,lalcantar@experienciasxcaret.com.mx,Puerto Juearez Km 282,Carr Chetumal,Puerto Juarez,Playa del Carmen,QROO,77710,Mexico,5.25216E+14,,Active,Registered,false,false,true,Leopoldo,Alcantar,lalcantar@experienciasxcaret.com.mx,Puerto Juearez Km 282,Carr Chetumal,Puerto Juarez,Playa del Carmen,QROO,77710,Mexico,5.25216E+14,,Active,false,false,true
563-41839790,WW,Registered,Renewable Subscription,,4,4,0,Expired,22/10/2020,27/10/2017,13/12/2019,Architecture Engineering Construction Collection IC Non-Language Specific,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,M2S,FY18,,Crossgrade,Serial Number,M2S,1.10002E+11,27/10/2017,26/10/2021,Annual,Renewable,Silver/Gold,3,Growing,Stable mid,Stable high,Stable mid,Stable mid,No use,Stable high,Slowing,Highly engaged,Stable high,Stable high,,0.7904596,,,,,0.7904596,Medium,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5124193278,Xdifica S.A. de C.V.,End Customer,Puerto Juearez Km 282,Carr Chetumal,,Playa del Carmen,QROO,77710,Mexico,false,true,Territory,Unknown,Unknown,Leopoldo,Alcantar,lalcantar@experienciasxcaret.com.mx,Puerto Juearez Km 282,Carr Chetumal,Puerto Juarez,Playa del Carmen,QROO,77710,Mexico,5.25216E+14,,Active,Registered,false,false,true,Leopoldo,Alcantar,lalcantar@experienciasxcaret.com.mx,Puerto Juearez Km 282,Carr Chetumal,Puerto Juarez,Playa del Carmen,QROO,77710,Mexico,5.25216E+14,,Active,false,false,true
563-48727978,WW,Registered,Renewable Subscription,,1,1,0,Expired,27/02/2018,15/11/2017,28/02/2019,Product Design Collection IC Non-Language Specific,Product Design & Manufacturing Collection,PDCOLL,,IC,S,TERM,GOLDA,,,,Crossgrade,Serial Number,,1.10001E+11,29/02/2016,28/02/2019,Annual,Renewable,Silver/Gold,2,Stable mid,Stable mid,Disengaging alarming,Disengaging alarming,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,,0.945711771,,,,,0.945711771,Low,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,30/11/2018,false,5102101281,Industrias Rheem S.A. de C.V.,End Customer,Avenida Los Dos Laredos 7,,,Nuevo Laredo,TAM,88185,Mexico,false,true,Territory,MFG,Consumer Products,Walter,Puente,wlater.puente@rheem.com,Avenida Los Dos Laredos 7,,,Nuevo Laredo,TAM,88185,Mexico,5.28677E+11,,Active,Registered,true,false,true,Walter,Puente,wlater.puente@rheem.com,Avenida Los Dos Laredos 7,,,Nuevo Laredo,TAM,88185,Mexico,5.28677E+11,,Active,true,false,true
563-72553653,WW,Registered,Renewable Subscription,,1,1,0,Expired,22/01/2018,22/01/2018,21/01/2019,AEC Collection IC Commercial Product Subscription New Single-user Annual SPZD Non-Language Specific,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,22/01/2018,21/01/2019,Annual,Renewable,Silver/Gold,0,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,Dormant,,0.278078136,,,,,0.278078136,Very High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,23/10/2018,false,5110005108,Fujita Corp,End Customer,Paseo Reforma 243,,,Ciudad de México,DF,6500,Mexico,false,true,Territory,Multi AEC Lead,Construction Services,Jose alejandro,Tostado perez,alejandro.tostado@kks-fujita.com,Paseo Reforma 243,Cuauhtemoc,,Ciudad de México,DF,6500,Mexico,5.24491E+11,,Active,Registered,false,false,true,Jose alejandro,Tostado perez,alejandro.tostado@kks-fujita.com,Paseo Reforma 243,Cuauhtemoc,,Ciudad de México,DF,6500,Mexico,5.24491E+11,,Active,false,false,true
563-07700344,WW,Registered,Renewable Subscription,,1,1,0,Expired,29/07/2017,29/07/2017,28/07/2019,M&E Collection IC Commercial Product Subscription New Single-user Annual SPZD Non-Language Specific,Media & Entertainment Collection,MECOLL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10001E+11,10/08/2016,28/07/2019,Annual,Renewable,Silver/Gold,2,Disengaging alarming,Disengaging alarming,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Highly engaged,Growing,Growing,Growing,,0.382632524,,,,,0.382632524,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,29/04/2019,false,5150758490,Baware S.A. de C.V.,End Customer,Pirules Ext Mz 22 Lt 14 Int 5,San Jose,,Chicoloapan,MEX,56370,Mexico,false,true,Territory,,,Mauricio,Olvera,molvera@baware.com.mx,Pirules Ext Mz 22 Lt 14 Int 5,San Jose,,Chicoloapan,MEX,56370,Mexico,5.25541E+11,,Active,Registered,true,false,true,Mauricio,Olvera,molvera@baware.com.mx,Pirules Ext Mz 22 Lt 14 Int 5,San Jose,,Chicoloapan,MEX,56370,Mexico,5.25541E+11,,Active,true,false,true
563-07700344,WW,Registered,Renewable Subscription,,1,1,0,Expired,29/07/2017,29/07/2017,10/08/2017,M&E Collection IC Commercial Product Subscription New Single-user Annual SPZD Non-Language Specific,Media & Entertainment Collection,MECOLL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,10/08/2017,10/08/2017,Annual,Renewable,Silver/Gold,0,NO LONGER SCORED,NO LONGER SCORED,NO LONGER SCORED,NO LONGER SCORED,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.297986273,,,,,0.297986273,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,,,,false,5150758490,Baware S.A. de C.V.,End Customer,Pirules Ext Mz 22 Lt 14 Int 5,San Jose,,Chicoloapan,MEX,56370,Mexico,false,true,Territory,,,Mauricio,Olvera,molvera@baware.com.mx,Pirules Ext Mz 22 Lt 14 Int 5,San Jose,,Chicoloapan,MEX,56370,Mexico,5.25541E+11,,Active,Registered,true,false,true,Mauricio,Olvera,molvera@baware.com.mx,Pirules Ext Mz 22 Lt 14 Int 5,San Jose,,Chicoloapan,MEX,56370,Mexico,5.25541E+11,,Active,true,false,true
562-98899375,WW,Registered,Renewable Subscription,,1,1,0,Expired,11/07/2017,11/07/2017,10/07/2018,AECCOL IC TL:CLXN PA AV WW ELD SPZD,Architecture Engineering Construction Collection,AECCOL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,11/07/2017,10/07/2018,Annual,Renewable,Silver/Gold,0,Stable mid,Highly engaged,Stable mid,Disengaging alarming,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,Stable mid,,0.377143977,,,Neutral,,0.377143977,High,Negative,,Neutral,Neutral,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,11/04/2018,false,5131063403,DPI Ingenieria,End Customer,Eca do Queiros 5147,,,Zapopan,JAL,45110,Mexico,false,false,Territory,,,Fernando,Che,fernando@itcraft.com.mx,Eca do Queiros 5147,,,Zapopan,JAL,45110,Mexico,5.21553E+12,,Active,Registered,false,false,true,Fernando,Che,fernando@itcraft.com.mx,Eca do Queiros 5147,,,Zapopan,JAL,45110,Mexico,5.21553E+12,,Active,false,false,true
562-77774161,WW,Registered,Renewable Subscription,,1,1,0,Expired,16/05/2017,17/05/2017,16/05/2019,Architecture Engineering & Construction Collection IC Non-Language Specific,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,17/05/2017,16/05/2019,Annual,Renewable,Silver/Gold,1,NO LONGER SCORED,NO LONGER SCORED,NO LONGER SCORED,NO LONGER SCORED,No segment,No segment,No segment,No segment,No segment,No segment,No segment,,0.474069886,,,,,0.474069886,High,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,15/02/2019,false,5080099711,Cemcementos Moctezuma S.A. de C.V.,End Customer,Monte Elbruz 134,Col Lomas de Chapultepec,,Ciudad de México,DF,11000,Mexico,false,false,Territory,Multi MFG Lead,Building Products & Fabricat'n,Alejandro,Plata luna,plata.alejandro@cmoctezuma.com.mx,Monte Elbruz 134,Col Lomas de Chapultepec,,Ciudad de México,DF,11000,Mexico,5.27773E+11,,Active,Registered,true,false,true,Arpide,Francisco,arpide.francisco@cmoctezuma.com.mx,Monte Elbruz 134,Col Lomas de Chapultepec,,Ciudad de México,DF,11000,Mexico,5.27771E+11,,Active,false,false,false
561-66014721,WW,Registered,Renewable Subscription,,1,1,0,Expired,,11/05/2017,19/07/2017,Autodesk Plant Design Suite Premium 2018 Non-Language Specific,Autodesk Plant Design Suite Premium,PDSPRM,,2018,S,TERM,GOLDA,,,,Upgrade,Serial Number,,1.10001E+11,20/07/2016,19/07/2017,Annual,Renewable,Silver/Gold,0,Stable mid,Highly engaged,,Stable high,,Stable high,,Stable mid,,Highly engaged,,,0.167831624,,,Neutral,,0.167831624,High,Neutral,,Neutral,Positive,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,20/04/2017,false,5127391634,Johnson Matthey de Mexico,End Customer,Av la Canada 1 2a Etapa,Parque Ind Bernardo Quintana,,Querétaro,QRO,76246,Mexico,false,false,Territory,Multi MFG Lead,Process Manufacturing,BIS,México,itmexico@jmusa.com,Av la Canada 1,Parque Ind Bernardo Quintana,,Querétaro,QRO,76246,Mexico,4.42E+16,,Active,Registered,false,false,false,BIS,México,itmexico@jmusa.com,Av la Canada 1,Parque Ind Bernardo Quintana,,Querétaro,QRO,76246,Mexico,4.42E+16,,Active,false,false,false
562-06922292,WW,Registered,Renewable Subscription,,1,1,0,Expired,,07/05/2017,11/12/2017,Autodesk AutoCAD 2018 Non-Language Specific,Autodesk AutoCAD,ACD,,2018,S,TERM,GOLDA,,,,Upgrade,Serial Number,,1.10002E+11,12/12/2016,11/12/2017,Annual,Renewable,Silver/Gold,0,No use,No use,,No use,,No use,,No use,,No use,,,0.437718407,,,Negative,,0.437718407,High,Neutral,,Negative,Neutral,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,12/09/2017,false,5129289081,Equipos Refacciones y Controles de,End Customer,Zenzontle 904,Col Ocho de Julio 1,,UNKNOWN,JAL,44910,Mexico,false,false,Territory,AEC,Buildings,Daniel,Maldonad,d.maldonado@erco.com.mx,Zenzontle 904,Col Ocho de Julio 1,,UNKNOWN,JAL,44910,Mexico,,,Active,Registered,true,false,true,Daniel,Maldonad,d.maldonado@erco.com.mx,Zenzontle 904,Col Ocho de Julio 1,,UNKNOWN,JAL,44910,Mexico,,,Active,true,false,true
561-57774966,WW,Registered,Renewable Subscription,,2,2,0,Expired,,06/05/2017,26/06/2017,Autodesk AutoCAD 2018 Non-Language Specific,Autodesk AutoCAD,ACD,,2018,S,TERM,GOLDA,,,,Upgrade,Serial Number,,1.10001E+11,27/06/2016,26/06/2017,Annual,Renewable,Silver/Gold,0,Stable mid,Disengaging alarming,,Stable mid,,Stable mid,,Dormant,,Dormant,,,0.207996161,,,Neutral,,0.207996161,High,Neutral,,Negative,Positive,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,28/03/2017,false,5127215293,Margadin Mexico S.A. de C.V.,End Customer,Av Tulum Lt 2 318 PB,Ofic 001 Smza,Col Mz 2,UNKNOWN,QROO,77504,Mexico,false,false,Territory,OTH,Other,Ricardo,Ponce,rponce@grupoamc.com,Av Tulum Lt 2 318 PB,Ofic 001 Smza,Col Mz 2,UNKNOWN,QROO,77504,Mexico,,,Active,Registered,true,true,true,Ricardo,Ponce,rponce@grupoamc.com,Av Tulum Lt 2 318 PB,Ofic 001 Smza,Col Mz 2,UNKNOWN,QROO,77504,Mexico,,,Active,true,true,true
562-11091413,WW,Registered,Renewable Subscription,,10,10,0,Expired,31/12/2016,18/05/2017,29/12/2017,Architecture Engineering Construction Collection IC Non-Language Specific,Architecture Engineering Construction Collection,AECCOL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,30/12/2016,29/12/2017,Annual,Renewable,Silver/Gold,0,No use,No use,,No use,,No use,,No use,,No use,,,0.627327026,,,Negative,,0.627327026,Medium,Neutral,,Neutral,Neutral,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,30/09/2017,false,5108649548,Municipio de Zapopan,End Customer,Zapapon 151 Cabecera Municipal,,,Zapopan,JAL,,Mexico,false,true,Territory,Multi EDU Lead,Education,Damaso,Barragan,damaso.barragan@zapopan.gob.mx,Zapapon 151 Cabecera Municipal,,,Zapopan,JAL,,,5.23338E+11,,Active,Incomplete Registration,false,false,false,Damaso,Barragan,damaso.barragan@zapopan.gob.mx,Zapapon 151 Cabecera Municipal,,,Zapopan,JAL,,,5.23338E+11,,Active,false,false,false
562-11081218,WW,Registered,Renewable Subscription,,1,1,0,Expired,31/12/2016,18/05/2017,29/12/2018,Architecture Engineering & Construction Collection IC Non-Language Specific,Architecture Engineering & Construction Collection,AECCOL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10002E+11,30/12/2016,29/12/2021,Annual,Renewable,Silver/Gold,4,Growing,Dormant,No use,Dormant,Dormant,Dormant,Growing,Growing,Dormant,Growing,Dormant,,0.676916906,,,,,0.676916906,Medium,,,,,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,30/09/2018,false,5107960074,Tecnologia Intercontinental S.A. de C.V.,End Customer,Rio Lerma 171 Cuauhtemoc,Col Cuahtemoc,,Ciudad de México,DF,6500,Mexico,false,true,Territory,,,Yvonne,Nava,yvonne@ticsa.com.mx,Rio Lerma 171 Cuauhtemoc,Col Cuahtemoc,,Ciudad de México,DF,6500,Mexico,5.25521E+11,,Active,Registered,false,false,false,Alfredo,Olalde,aolalde@ticsa.com.mx,Rio Lerma 171 Cuauhtemoc,Col Cuahtemoc,,Ciudad de México,DF,6500,Mexico,5.25591E+11,,Active,false,false,false
561-50256971,WW,Registered,Renewable Subscription,,1,1,0,Expired,,10/05/2017,25/05/2018,Autodesk Maya 2018 Non-Language Specific,Autodesk Maya,MAYA,,2018,S,TERM,GOLDA,,,,Upgrade,Serial Number,,1.10001E+11,27/05/2016,25/05/2018,Annual,Renewable,Silver/Gold,1,No use,No use,No use,No use,No use,No use,No use,No use,No use,No use,No use,,0.380081195,,,Negative,,0.380081195,High,Neutral,,Negative,Neutral,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,24/02/2018,false,5126918918,SYE Software S.A. de C.V.,End Customer,Av Lopez Mateos Sur 2077 Z 22,,,UNKNOWN,DF,54000,Mexico,false,true,Territory,M&E,Games,Mario,Gutierrez,sistemas@qualtop.com,Av Lopez Mateos Sur 2077 Z 22,,,UNKNOWN,DF,54000,Mexico,,,Active,Incomplete Registration,false,false,false,Mario,Gutierrez,sistemas@qualtop.com,Av Lopez Mateos Sur 2077 Z 22,,,UNKNOWN,DF,54000,Mexico,,,Active,false,false,false
561-74917440,WW,Registered,Renewable Subscription,,2,2,0,Expired,18/08/2016,15/05/2017,17/08/2017,AECCOL IC TL:CLXN PA BA WW ELD SPZD,Architecture Engineering Construction Collection,AECCOL,,IC,S,TERM,GOLDA,,,,New,Serial Number,,1.10001E+11,18/08/2016,17/08/2017,Annual,Renewable,Silver/Gold,0,Disengaging alarming,Disengaging alarming,,Stable mid,,Stable mid,,Stable high,,Stable high,,,0.255894131,,,Neutral,,0.255894131,High,Neutral,,Positive,Positive,5105829637,Compusoluciones y Asociados S.A. de C.V.,70028227,COMPUCAD S.A. de C.V.,COMPUCAD S.A. de C.V.,Reseller,Aurelio L Gallardo 437,Col Ladron de Guevara,,Guadalajara,JAL,44680,Mexico,70028227,COMPUCAD S.A. de C.V.,19/05/2017,false,5127654994,Fidelibus S.C.,End Customer,Isla Sumatra 2532,Bosques de la,,UNKNOWN,JAL,44540,Mexico,false,true,Territory,,,Paul,Sabel,cadutopia@gmail.com,Isla Sumatra 2532,Bosques de la,,UNKNOWN,JAL,44540,Mexico,,,Active,Registered,true,true,true,Paul,Sabel,cadutopia@gmail.com,Isla Sumatra 2532,Bosques de la,,UNKNOWN,JAL,44540,Mexico,,,Active,true,true,true
